title,year,genres,critics_score,audience_score
Day for Night,1973,"['Comedy', 'Drama', 'Romance']",98.0,91.0
Stepfather III: Father's Day,1991,['Horror'],20.0,23.0
Lucky Day,2019,"['Mystery & Thriller', 'Action', 'Comedy']",9.0,41.0
Next Day Air,2009,"['Comedy', 'Drama']",22.0,31.0
The Day of the Locust,1975,['Drama'],63.0,75.0
The Day Shall Come,2019,['Comedy'],65.0,51.0
Another Happy Day,2011,"['Comedy', 'Drama']",47.0,44.0
The Story of a Three-Day Pass,1967,['Drama'],100.0,92.0
Day of the Dead,2021,"['Horror', 'Comedy', 'Action']",13.0,22.0
Training Day,2017,"['Crime', 'Drama']",74.0,89.0
The 27th Day,1957,['Sci-Fi'],20.0,28.0
Night and Day (Bam gua nat),2009,[],87.0,68.0
Father's Day,2011,"['Action', 'Comedy', 'Horror']",78.0,63.0
Entertaining Angels: The Dorothy Day Story,1996,"['Biography', 'Drama', 'Romance']",60.0,69.0
The Eighth Day,1996,['Drama'],67.0,88.0
The First Day of the Rest of Your Life,2008,['Drama'],81.0,87.0
One Day in the Life of Andrei Arsenevich,2000,['Documentary'],100.0,94.0
D-Day: Normandy 1944,2014,['Documentary'],100.0,84.0
One Day in the Life of Ivan Denisovich,1971,['Drama'],17.0,92.0
Planet Earth: One Amazing Day,2017,['Documentary'],100.0,89.0
Picture Day,2012,"['Comedy', 'Drama']",80.0,62.0
Day of the Outlaw,1959,['Western'],100.0,71.0
Back in the Day,2014,['Comedy'],11.0,47.0
The 24th Day,2004,['Drama'],27.0,58.0
St George's Day,2012,"['Crime', 'Drama', 'Mystery & Thriller']",17.0,34.0
Every Day,2010,"['Comedy', 'Drama']",35.0,24.0
Where the Day Takes You,1992,['Drama'],80.0,73.0
The Day He Arrives,2011,['Drama'],91.0,70.0
Judgment Day,1999,['Action'],40.0,14.0
Jazz on a Summer's Day,1959,"['Documentary', 'Music']",97.0,82.0
The Day After,2017,"['Comedy', 'Drama', 'Romance']",79.0,67.0
The Day I Became a Woman,2000,['Drama'],88.0,83.0
"Rabin, the Last Day",2015,['Drama'],68.0,44.0
The Ninth Day,2003,"['Drama', 'War']",77.0,79.0
Life in a Day,2011,['Documentary'],79.0,79.0
Our Day Will Come,2010,['Drama'],45.0,45.0
On a Clear Day,2005,"['Comedy', 'Drama']",69.0,72.0
On the 3rd Day,2021,"['Fantasy', 'Horror', 'Mystery & Thriller']",38.0,38.0
Deano and Nige's Best Last Day Ever,2012,['Comedy'],50.0,49.0
Marathon: The Patriots Day Bombing,2016,[],90.0,83.0
The Day Sports Stood Still,2021,"['Documentary', 'Sports & Fitness']",80.0,67.0
The Pay Day,2022,"['Comedy', 'Mystery & Thriller']",60.0,95.0
1 Day,2009,['Drama'],53.0,49.0
Long Night's Journey Into Day,2000,['Documentary'],94.0,71.0
A Great Day in Harlem,1994,['Documentary'],89.0,73.0
Anita O'Day: The Life of a Jazz Singer,2007,"['Documentary', 'Music']",100.0,76.0
Last Day of Summer,2009,"['Comedy', 'Drama']",17.0,23.0
Day of the Animals,1977,"['Horror', 'Mystery & Thriller']",40.0,30.0
Have a Nice Day,2017,"['Crime', 'Drama', 'Mystery & Thriller', 'Animation']",78.0,64.0
Tiny Tim: King for a Day,2020,"['Documentary', 'Music']",85.0,62.0
One Week and a Day,2016,['Drama'],90.0,76.0
I Hate Valentine's Day,2009,"['Romance', 'Comedy']",19.0,28.0
I Woke Up Early the Day I Died,1998,['Comedy'],27.0,50.0
Lover for a Day,2017,['Drama'],82.0,41.0
Liberation Day,2016,"['Documentary', 'Musical']",67.0,100.0
Patrick's Day,2014,['Drama'],100.0,82.0
One Day on Earth,2012,['Documentary'],38.0,62.0
Woman Thou Art Loosed: On the 7th Day,2012,['Drama'],22.0,69.0
5 Star Day,2010,['Drama'],41.0,33.0
Any Day Now,1998,['Drama'],78.0,76.0
After the Hunt,2025,"['Drama', 'Mystery & Thriller', 'Crime']",38.0,38.0
The Home,2025,"['Horror', 'Mystery & Thriller']",30.0,58.0
The Elixir,2025,"['Horror', 'Mystery & Thriller']",70.0,27.0
The Hand That Rocks The Cradle,2025,"['Mystery & Thriller', 'Drama']",44.0,27.0
The Astronaut,2025,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",39.0,66.0
The Twits,2025,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Kids & Family']",52.0,52.0
The Vanishing,1988,['Mystery & Thriller'],96.0,88.0
Under the Shadow,2016,"['Horror', 'Mystery & Thriller']",99.0,71.0
Let the Right One In,2008,['Horror'],98.0,90.0
The Perfect Neighbor,2025,"['Documentary', 'Crime']",99.0,79.0
The Lost Bus,2025,"['Mystery & Thriller', 'Drama']",87.0,94.0
The Wailing,2016,"['Mystery & Thriller', 'Horror']",99.0,82.0
The Conjuring,2013,"['Horror', 'Mystery & Thriller']",86.0,83.0
The Deliverance,2024,"['Horror', 'Mystery & Thriller']",34.0,39.0
The Exorcist,1973,['Horror'],78.0,87.0
The Thursday Murder Club,2025,"['Comedy', 'Mystery & Thriller', 'Crime']",77.0,53.0
The Diplomat,2023,"['Drama', 'Mystery & Thriller']",47.0,87.0
The Ritual,2017,['Horror'],74.0,63.0
The Unholy Trinity,2024,['Western'],40.0,66.0
The Ugly Stepsister,2025,"['Horror', 'Comedy']",96.0,87.0
The Texas Chain Saw Massacre,1974,"['Horror', 'Mystery & Thriller']",84.0,82.0
The Woman in the Yard,2025,"['Horror', 'Mystery & Thriller']",41.0,46.0
The Descent,2005,"['Horror', 'Mystery & Thriller', 'Adventure']",87.0,76.0
The Senior,2023,"['Drama', 'Biography', 'Sports']",79.0,93.0
The Strangers: Chapter 2,2025,"['Horror', 'Mystery & Thriller']",14.0,55.0
The Mastermind,2025,"['Drama', 'Crime']",92.0,37.0
The History of Sound,2025,"['Romance', 'Drama', 'LGBTQ+', 'History']",68.0,90.0
Watch the Skies,2022,"['Sci-Fi', 'Adventure']",78.0,73.0
Chainsaw Man - The Movie: Reze Arc,2025,"['Action', 'Adventure', 'Fantasy', 'Anime']",97.0,98.0
The Others,2001,"['Mystery & Thriller', 'Horror']",84.0,77.0
The Babadook,2014,"['Horror', 'Mystery & Thriller']",98.0,72.0
The Substance,2024,"['Horror', 'Drama']",89.0,76.0
The Baltimorons,2025,['Comedy'],94.0,83.0
The Order,2024,"['Mystery & Thriller', 'Crime', 'Drama']",93.0,89.0
The Woman in Cabin 10,2025,"['Drama', 'Mystery & Thriller']",26.0,32.0
Tim Burton's The Nightmare Before Christmas,1993,"['Kids & Family', 'Holiday', 'Fantasy', 'Comedy', 'Animation']",95.0,92.0
Late Night with the Devil,2023,"['Horror', 'Mystery & Thriller']",97.0,82.0
The Little Things,2021,"['Mystery & Thriller', 'Crime', 'Drama']",44.0,67.0
The Black Phone,2021,"['Horror', 'Mystery & Thriller']",81.0,88.0
Life of the Party,2018,['Comedy'],38.0,40.0
The Toxic Avenger,2023,"['Action', 'Comedy', 'Horror']",86.0,82.0
Gabby's Dollhouse: The Movie,2025,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",85.0,94.0
The Phoenician Scheme,2025,"['Comedy', 'Drama', 'Mystery & Thriller', 'Action', 'Crime']",77.0,71.0
The Damned,2024,['Horror'],89.0,47.0
The Smashing Machine,2025,"['Biography', 'Drama', 'Action', 'Sports']",70.0,75.0
The Maze Runner,2014,"['Sci-Fi', 'Adventure', 'Action', 'Mystery & Thriller']",66.0,68.0
The Electric State,2025,"['Sci-Fi', 'Adventure', 'Comedy']",14.0,67.0
The Thing,1982,"['Horror', 'Sci-Fi', 'Mystery & Thriller']",85.0,92.0
The Forgiven,2021,['Drama'],68.0,57.0
The Gorge,2025,"['Mystery & Thriller', 'Action', 'Adventure', 'Horror', 'Romance']",62.0,75.0
The Father,2020,['Drama'],98.0,88.0
Kiss of the Spider Woman,2025,"['Musical', 'Drama', 'Fantasy']",77.0,67.0
The Amateur,2025,"['Mystery & Thriller', 'Action', 'Drama']",62.0,87.0
The Shining,1980,"['Horror', 'Mystery & Thriller']",84.0,93.0
The Running Man,1987,"['Sci-Fi', 'Action']",63.0,61.0
Eleanor the Great,2025,"['Comedy', 'Drama']",66.0,94.0
The Monkey,2025,"['Horror', 'Comedy']",77.0,55.0
Marvel's the Avengers,2012,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",91.0,91.0
Downton Abbey: The Grand Finale,2025,['Drama'],91.0,96.0
The Life of Chuck,2024,"['Drama', 'Sci-Fi', 'Fantasy']",80.0,88.0
