title,year,genres,critics_score,audience_score
Descendent,2025,"['Sci-Fi', 'Horror', 'Drama', 'Mystery & Thriller']",88.0,45.0
Downwind,2023,"['Documentary', 'History']",100.0,79.0
Last Days,2025,"['Adventure', 'Drama']",31.0,71.0
Don't Say a Word,2001,['Mystery & Thriller'],23.0,49.0
Death of a Unicorn,2025,"['Action', 'Adventure', 'Mystery & Thriller', 'Comedy']",53.0,76.0
Deadstream,2022,"['Horror', 'Comedy']",92.0,75.0
Dogtooth,2009,['Comedy'],93.0,76.0
Tucker & Dale vs Evil,2010,"['Horror', 'Comedy']",86.0,85.0
Dead of Winter,2025,['Mystery & Thriller'],76.0,79.0
Django Unchained,2012,"['Western', 'Drama', 'Action']",87.0,92.0
Dark Shadows,2012,"['Comedy', 'Fantasy']",35.0,46.0
A Different Man,2024,"['Comedy', 'Drama', 'Mystery & Thriller', 'Sci-Fi']",93.0,89.0
Dead Poets Society,1989,['Drama'],85.0,92.0
KPop Demon Hunters,2025,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",95.0,99.0
Napoleon Dynamite,2004,['Comedy'],72.0,74.0
Mulholland Dr.,2001,['Mystery & Thriller'],84.0,87.0
Donnie Darko,2001,"['Drama', 'Sci-Fi', 'Fantasy']",88.0,80.0
Don't Move,2024,"['Horror', 'Mystery & Thriller']",75.0,40.0
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,"['Fantasy', 'Adventure', 'Action', 'Anime']",98.0,98.0
Descendant,2022,['Documentary'],100.0,64.0
Deep Cover,2025,"['Comedy', 'Crime', 'Drama']",90.0,79.0
Don't Look Up,2021,['Comedy'],56.0,78.0
Dreamcatcher,2003,"['Horror', 'Sci-Fi']",27.0,36.0
Dinner Rush,2000,"['Comedy', 'Drama']",91.0,85.0
Scooby-Doo,2002,"['Kids & Family', 'Comedy', 'Adventure']",32.0,40.0
Evil Dead Rise,2023,"['Horror', 'Mystery & Thriller', 'Fantasy']",85.0,76.0
Until Dawn,2025,"['Horror', 'Mystery & Thriller']",51.0,67.0
Don't Look Now,1973,['Mystery & Thriller'],93.0,76.0
No Good Deed,2014,['Mystery & Thriller'],13.0,55.0
Drag Me to Hell,2009,"['Horror', 'Mystery & Thriller']",92.0,62.0
Disturbia,2007,['Mystery & Thriller'],69.0,77.0
Evil Dead II,1987,"['Horror', 'Comedy']",88.0,89.0
Strange Darling,2023,"['Mystery & Thriller', 'Horror']",96.0,85.0
Death Becomes Her,1992,"['Comedy', 'Fantasy']",58.0,62.0
Play Dirty,2025,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",43.0,42.0
(500) Days of Summer,2009,"['Comedy', 'Drama', 'Romance']",86.0,84.0
Red Dragon,2002,"['Mystery & Thriller', 'Crime', 'Drama']",69.0,74.0
Don't Worry Darling,2022,['Mystery & Thriller'],38.0,74.0
Dangerous Animals,2025,"['Horror', 'Mystery & Thriller']",87.0,74.0
Guillermo del Toro's Pinocchio,2022,"['Musical', 'Fantasy', 'Animation']",96.0,90.0
Magazine Dreams,2023,['Drama'],80.0,89.0
Evil Dead,2013,"['Horror', 'Mystery & Thriller']",64.0,64.0
Perfect Days,2023,['Drama'],96.0,93.0
No Time to Die,2021,"['Action', 'Adventure', 'Mystery & Thriller']",83.0,88.0
Dog Man,2025,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",81.0,81.0
Downsizing,2017,"['Comedy', 'Drama', 'Sci-Fi', 'Fantasy']",47.0,25.0
Deep Water,2022,"['Mystery & Thriller', 'Drama']",35.0,25.0
Final Destination Bloodlines,2025,['Horror'],92.0,86.0
Taxi Driver,1976,['Drama'],89.0,93.0
Den of Thieves,2018,"['Crime', 'Drama', 'Mystery & Thriller', 'Action']",42.0,63.0
I Know What You Did Last Summer,1997,"['Horror', 'Mystery & Thriller']",47.0,41.0
Joker: Folie à Deux,2024,"['Musical', 'Crime', 'Drama']",31.0,31.0
Dracula Untold,2014,"['Fantasy', 'Action', 'Horror']",26.0,58.0
28 Days Later,2002,"['Horror', 'Mystery & Thriller']",87.0,85.0
How to Train Your Dragon,2010,"['Kids & Family', 'Fantasy', 'Adventure', 'Comedy', 'Animation']",99.0,91.0
Doctor Sleep,2019,"['Horror', 'Mystery & Thriller']",78.0,89.0
Don't Breathe,2016,"['Horror', 'Mystery & Thriller']",88.0,79.0
Honey Don't!,2025,"['Comedy', 'Crime', 'Drama', 'Mystery & Thriller']",45.0,40.0
I Know What You Did Last Summer,2025,"['Horror', 'Mystery & Thriller']",36.0,68.0
Dune,2021,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy', 'Drama']",83.0,90.0
Requiem for a Dream,2000,['Drama'],80.0,93.0
Disney's Snow White,2025,"['Kids & Family', 'Fantasy', 'Adventure', 'Drama']",39.0,69.0
Drop,2025,['Mystery & Thriller'],83.0,79.0
One of Them Days,2025,['Comedy'],94.0,89.0
Deadpool & Wolverine,2024,"['Action', 'Adventure', 'Comedy']",78.0,94.0
Dune: Part Two,2024,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy', 'Drama']",92.0,95.0
Baby Driver,2017,"['Action', 'Mystery & Thriller']",92.0,86.0
Bram Stoker's Dracula,1992,['Horror'],69.0,79.0
Batman v Superman: Dawn of Justice,2016,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",28.0,63.0
Zero Dark Thirty,2012,"['Drama', 'Mystery & Thriller', 'War']",91.0,80.0
How to Train Your Dragon,2025,"['Kids & Family', 'Fantasy', 'Adventure', 'Action', 'Comedy']",77.0,97.0
Jurassic World Dominion,2022,"['Action', 'Adventure', 'Sci-Fi', 'Mystery & Thriller']",29.0,77.0
Doin' It,2024,['Comedy'],50.0,95.0
Falling Down,1993,['Action'],75.0,84.0
Dracula,1931,['Horror'],96.0,82.0
Dodgeball: A True Underdog Story,2004,['Comedy'],72.0,76.0
The Witcher: Sirens of the Deep,2025,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery & Thriller', 'Animation']",58.0,38.0
Drive,2011,"['Crime', 'Drama', 'Action']",93.0,79.0
Damsel,2024,"['Fantasy', 'Adventure', 'Action']",56.0,59.0
Things Will Be Different,2024,"['Sci-Fi', 'Mystery & Thriller', 'Horror']",81.0,41.0
Dumb & Dumber,1994,['Comedy'],69.0,84.0
A Nightmare on Elm Street 3: Dream Warriors,1987,['Horror'],68.0,68.0
Dirty Angels,2024,"['Action', 'Mystery & Thriller']",27.0,25.0
Scooby-Doo 2: Monsters Unleashed,2004,"['Kids & Family', 'Comedy', 'Adventure']",22.0,42.0
The Fast and the Furious: Tokyo Drift,2006,"['Action', 'Mystery & Thriller']",38.0,69.0
Disappearance at Clifton Hill,2019,"['Drama', 'Mystery & Thriller']",78.0,31.0
District 9,2009,['Sci-Fi'],90.0,82.0
Dawn of the Dead,1978,['Horror'],92.0,90.0
I Saw the Devil,2010,['Mystery & Thriller'],83.0,87.0
30 Days of Night,2007,"['Horror', 'Mystery & Thriller']",50.0,56.0
Dream Scenario,2023,"['Fantasy', 'Horror', 'Comedy', 'Drama']",91.0,69.0
Isle of Dogs,2018,"['Comedy', 'Adventure', 'Animation']",90.0,87.0
Ace Ventura: Pet Detective,1994,['Comedy'],47.0,57.0
Fantastic Beasts: The Secrets of Dumbledore,2022,"['Fantasy', 'Adventure']",46.0,83.0
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,1964,['Comedy'],98.0,94.0
Dead Mail,2024,"['Horror', 'Mystery & Thriller', 'Crime']",93.0,68.0
Before the Devil Knows You're Dead,2007,"['Crime', 'Drama', 'Mystery & Thriller']",89.0,72.0
Deep Cover,1992,"['Crime', 'Drama']",87.0,78.0
Final Destination,2000,"['Horror', 'Mystery & Thriller']",50.0,68.0
Dunkirk,2017,"['War', 'History', 'Drama']",92.0,81.0
From Dusk Till Dawn,1996,"['Horror', 'Action']",66.0,76.0
Dragonball: Evolution,2009,"['Action', 'Adventure', 'Fantasy']",14.0,19.0
Die Hard,1988,"['Action', 'Mystery & Thriller']",94.0,94.0
Megamind vs. the Doom Syndicate,2024,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",9.0,8.0
Deep Impact,1998,"['Action', 'Adventure', 'Sci-Fi', 'Drama', 'Mystery & Thriller']",45.0,43.0
Decision to Leave,2022,"['Mystery & Thriller', 'Crime', 'Drama', 'Romance']",94.0,84.0
The Devil's Rejects,2005,['Horror'],55.0,78.0
Joe Dirt,2001,['Comedy'],9.0,64.0
Demolition,2015,"['Comedy', 'Drama']",53.0,55.0
I Still Know What You Did Last Summer,1998,['Horror'],10.0,29.0
Dolores Claiborne,1995,"['Crime', 'Drama']",86.0,82.0
The House of the Devil,2009,['Horror'],85.0,63.0
Doctor Strange,2016,"['Action', 'Adventure', 'Fantasy']",89.0,86.0
Till Death,2021,"['Mystery & Thriller', 'Action']",90.0,53.0
The Master of Disguise,2002,['Comedy'],1.0,37.0
Kiki's Delivery Service,1989,"['Kids & Family', 'Adventure', 'Anime']",98.0,89.0
Dead Silence,2007,"['Horror', 'Mystery & Thriller']",21.0,51.0
Army Of The Dead,2021,"['Horror', 'Action', 'Adventure', 'Crime']",68.0,74.0
Daughters,2024,['Documentary'],100.0,91.0
May December,2023,"['Drama', 'Romance']",91.0,65.0
You Don't Mess With the Zohan,2008,['Comedy'],37.0,45.0
The Girl With the Dragon Tattoo,2011,"['Mystery & Thriller', 'Crime', 'Drama']",86.0,86.0
The Girl Next Door,2004,"['Romance', 'Comedy']",56.0,69.0
Dracula,1979,"['Horror', 'Drama', 'Romance']",64.0,59.0
Dinner for Schmucks,2010,['Comedy'],42.0,42.0
Deep Red,1975,"['Horror', 'Mystery & Thriller']",94.0,85.0
The Darkest Minds,2018,"['Sci-Fi', 'Mystery & Thriller', 'Action']",15.0,70.0
Punch-Drunk Love,2002,"['Romance', 'Comedy']",79.0,78.0
Alice Doesn't Live Here Anymore,1974,['Drama'],92.0,81.0
Dog Soldiers,2002,"['Horror', 'Mystery & Thriller']",82.0,79.0
Downfall,2004,"['History', 'Drama', 'War']",90.0,94.0
Reservoir Dogs,1992,"['Crime', 'Drama']",90.0,94.0
Army of Darkness,1992,"['Fantasy', 'Adventure', 'Horror', 'Comedy']",69.0,86.0
Den of Thieves: Pantera,2025,"['Crime', 'Drama', 'Mystery & Thriller', 'Action']",62.0,79.0
Death Note,2017,"['Horror', 'Mystery & Thriller']",36.0,23.0
Love & Other Drugs,2010,"['Drama', 'Romance', 'Comedy']",49.0,53.0
Divergent,2014,"['Sci-Fi', 'Action', 'Adventure']",41.0,69.0
How to Lose a Guy in 10 Days,2003,"['Romance', 'Comedy']",42.0,77.0
Fifty Shades Darker,2017,"['Romance', 'Drama']",11.0,48.0
Darkest Hour,2017,"['History', 'Drama', 'Biography', 'War']",84.0,83.0
Dungeons & Dragons: Honor Among Thieves,2023,"['Fantasy', 'Adventure', 'Action', 'Comedy']",91.0,92.0
Despicable Me 4,2024,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",55.0,86.0
Terminator: Dark Fate,2019,"['Sci-Fi', 'Action']",70.0,82.0
Dark Waters,2019,"['Drama', 'Mystery & Thriller']",89.0,95.0
Insidious: The Red Door,2023,"['Horror', 'Mystery & Thriller']",39.0,69.0
Bad Boys: Ride or Die,2024,"['Action', 'Comedy']",65.0,96.0
Deliver Me from Nowhere,2025,"['Biography', 'Drama', 'Music']",59.0,83.0
How to Train Your Dragon: The Hidden World,2019,"['Kids & Family', 'Fantasy', 'Adventure', 'Comedy', 'Animation']",90.0,87.0
Dawn of the Planet of the Apes,2014,"['Sci-Fi', 'Action', 'Adventure']",91.0,88.0
"The Godfather, Coda: The Death of Michael Corleone",1990,"['Crime', 'Drama']",86.0,85.0
"The Gangster, the Cop, the Devil",2019,"['Action', 'Mystery & Thriller', 'Crime', 'Drama']",97.0,94.0
The Hobbit: The Desolation of Smaug,2013,"['Fantasy', 'Adventure', 'Drama']",74.0,85.0
Curse of the Demon,1957,['Horror'],100.0,85.0
Dilwale Dulhania Le Jayenge,1995,"['Romance', 'Drama']",100.0,94.0
76 Days,2020,['Documentary'],100.0,86.0
The Drop,2014,"['Crime', 'Drama']",88.0,76.0
The Cabinet of Dr. Caligari,1919,"['Horror', 'Fantasy', 'Mystery & Thriller']",96.0,89.0
His Three Daughters,2023,['Drama'],97.0,82.0
Detachment,2011,['Drama'],59.0,74.0
Dead Alive,1992,"['Horror', 'Comedy']",89.0,86.0
The Decalogue,1989,['Drama'],100.0,98.0
X-Men: Days of Future Past,2014,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",90.0,91.0
The Diplomat,2025,"['Drama', 'Mystery & Thriller']",47.0,87.0
Dredd,2012,"['Action', 'Sci-Fi']",80.0,72.0
100 Days to Live,2019,"['Drama', 'Mystery & Thriller']",100.0,91.0
Scooby-Doo on Zombie Island,1998,"['Kids & Family', 'Comedy', 'Mystery & Thriller', 'Adventure', 'Animation']",89.0,80.0
Shadow of a Doubt,1943,"['Crime', 'Drama', 'Mystery & Thriller']",100.0,89.0
Seven Days in May,1964,['Mystery & Thriller'],92.0,89.0
The Three Musketeers: Part I - D'Artagnan,2023,"['Adventure', 'Action']",98.0,80.0
Black Hawk Down,2001,"['War', 'Drama']",77.0,88.0
Dragged Across Concrete,2018,"['Crime', 'Drama', 'Action', 'Mystery & Thriller']",76.0,67.0
Die Alone,2024,"['Horror', 'Mystery & Thriller']",81.0,56.0
Don't Listen,2020,"['Drama', 'Horror']",71.0,61.0
Daddy's Head,2024,['Horror'],84.0,52.0
My Dinner With Andre,1981,['Comedy'],93.0,85.0
Dead Ringers,1988,"['Horror', 'Drama', 'Mystery & Thriller']",86.0,82.0
Dallas Buyers Club,2013,"['Drama', 'LGBTQ+']",92.0,91.0
Vera Drake,2004,['Drama'],93.0,84.0
Dead Man,1995,['Western'],69.0,88.0
The Devil's Candy,2015,"['Horror', 'Mystery & Thriller']",93.0,65.0
Deepwater Horizon,2016,"['Mystery & Thriller', 'Action', 'Drama']",82.0,82.0
Dìdi,2024,"['Comedy', 'Drama']",95.0,91.0
End of Days,1999,"['Horror', 'Action', 'Fantasy']",11.0,33.0
Final Destination 5,2011,"['Horror', 'Mystery & Thriller']",64.0,53.0
Dr. No,1962,"['Action', 'Adventure', 'Mystery & Thriller']",95.0,82.0
The Princess Diaries,2001,"['Kids & Family', 'Comedy']",49.0,68.0
Diary of a Wimpy Kid,2010,"['Kids & Family', 'Comedy']",54.0,50.0
Disobedience,2017,"['Romance', 'Drama', 'LGBTQ+']",84.0,75.0
I Don't Understand You,2024,"['Comedy', 'Horror']",52.0,46.0
The Good Dinosaur,2015,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",76.0,64.0
The Lost Daughter,2021,['Drama'],94.0,56.0
The Blackcoat's Daughter,2015,"['Horror', 'Mystery & Thriller']",77.0,52.0
50 First Dates,2004,"['Romance', 'Comedy']",45.0,65.0
Near Dark,1987,"['Horror', 'Western']",83.0,74.0
Demon,2015,"['Horror', 'Mystery & Thriller']",92.0,54.0
The Room Next Door,2024,['Drama'],80.0,76.0
Downton Abbey: A New Era,2022,['Drama'],87.0,97.0
A Dark Song,2016,"['Drama', 'Horror']",91.0,62.0
Queen of the Damned,2002,['Horror'],17.0,66.0
Dazed and Confused,1993,['Comedy'],94.0,90.0
Inside Llewyn Davis,2013,"['Drama', 'Comedy', 'Music']",92.0,74.0
Prince of Darkness,1987,['Horror'],63.0,61.0
The Return of the Living Dead,1985,"['Horror', 'Comedy']",70.0,80.0
Deadpool,2016,"['Action', 'Adventure', 'Comedy']",85.0,90.0
Mrs. Doubtfire,1993,"['Kids & Family', 'Comedy']",70.0,77.0
My Dead Friend Zoe,2024,"['Comedy', 'Drama']",94.0,95.0
Blood Diamond,2006,"['Adventure', 'Drama']",64.0,90.0
Pokémon Detective Pikachu,2019,"['Kids & Family', 'Comedy', 'Adventure', 'Mystery & Thriller']",68.0,79.0
How to Train Your Dragon 2,2014,"['Kids & Family', 'Fantasy', 'Adventure', 'Comedy', 'Action', 'Animation']",92.0,90.0
Sleeping Dogs,2024,"['Mystery & Thriller', 'Crime', 'Drama']",43.0,81.0
Grindhouse Presents: Death Proof,2007,"['Mystery & Thriller', 'Action', 'Horror']",67.0,71.0
Dear Santa,2024,"['Holiday', 'Comedy', 'Fantasy']",24.0,39.0
Devotion,2022,"['War', 'History', 'Drama', 'Action']",81.0,92.0
Harry Potter and the Deathly Hallows: Part 1,2010,"['Fantasy', 'Adventure', 'Mystery & Thriller']",76.0,85.0
Death on the Nile,2022,"['Mystery & Thriller', 'Crime', 'Drama']",62.0,82.0
My Friend Dahmer,2017,"['Biography', 'Drama']",85.0,61.0
Detroit,2017,"['Crime', 'Drama']",82.0,79.0
High Plains Drifter,1973,['Western'],94.0,86.0
Dark City,1998,"['Fantasy', 'Sci-Fi']",78.0,85.0
Dirty Dancing,1987,"['Romance', 'Drama']",72.0,90.0
Dolittle,2020,"['Kids & Family', 'Fantasy', 'Adventure', 'Comedy']",15.0,76.0
The Dry,2021,"['Crime', 'Drama', 'Mystery & Thriller']",90.0,89.0
The Death of Stalin,2017,"['Comedy', 'History', 'Drama']",94.0,79.0
Dreamgirls,2006,"['Musical', 'Drama']",79.0,71.0
Operation Fortune: Ruse de guerre,2023,"['Action', 'Comedy', 'Mystery & Thriller']",51.0,82.0
Dumb Money,2023,"['Comedy', 'Drama', 'Biography']",84.0,85.0
Did You Hear About the Morgans?,2009,"['Comedy', 'Romance']",12.0,27.0
"Crouching Tiger, Hidden Dragon",2000,"['Adventure', 'Action']",98.0,86.0
Robot Dreams,2023,"['Kids & Family', 'Drama', 'Music', 'Animation']",98.0,88.0
Zombieland: Double Tap,2019,"['Comedy', 'Horror', 'Action']",68.0,88.0
Dangerous Liaisons,1988,['Drama'],94.0,83.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,['Comedy'],32.0,80.0
Transformers: Dark of the Moon,2011,"['Action', 'Adventure', 'Sci-Fi']",35.0,55.0
Despicable Me,2010,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",80.0,83.0
The Descent: Part 2,2009,"['Horror', 'Mystery & Thriller', 'Adventure']",49.0,34.0
Faces of Death,1978,['Horror'],25.0,40.0
Descendants,2015,"['Kids & Family', 'Comedy', 'Action', 'Adventure', 'Fantasy']",90.0,68.0
The Next 365 Days,2022,"['Drama', 'Romance']",0.0,36.0
Demon Slayer: Kimetsu no Yaiba -To the Hashira Training-,2024,"['Fantasy', 'Adventure', 'Action', 'Anime']",88.0,79.0
Where Eagles Dare,1969,"['War', 'Action', 'Adventure']",84.0,89.0
La Dolce Villa,2025,"['Romance', 'Comedy']",75.0,59.0
Deliverance,1972,"['Adventure', 'Drama']",90.0,82.0
Dora and the Search for Sol Dorado,2025,"['Kids & Family', 'Adventure', 'Comedy', 'Action']",92.0,88.0
Strange Days,1995,['Mystery & Thriller'],70.0,73.0
Coup de Chance,2023,"['Mystery & Thriller', 'Romance', 'Drama', 'Comedy']",84.0,76.0
Madea's Destination Wedding,2025,['Comedy'],11.0,36.0
Horror of Dracula,1958,['Horror'],89.0,81.0
Dead End,2003,"['Horror', 'Mystery & Thriller']",80.0,59.0
The Basketball Diaries,1995,"['Drama', 'Crime', 'Biography']",46.0,76.0
DogMan,2023,['Mystery & Thriller'],59.0,83.0
Demonic,2015,"['Horror', 'Mystery & Thriller']",30.0,23.0
Death Sentence,2007,"['Mystery & Thriller', 'Action', 'Drama']",20.0,60.0
Edge of Darkness,2010,"['Mystery & Thriller', 'Crime', 'Drama']",54.0,49.0
Hold the Dark,2018,"['Mystery & Thriller', 'Adventure']",69.0,33.0
Orion and the Dark,2024,"['Kids & Family', 'Comedy', 'Animation']",91.0,57.0
Deck the Halls,2006,"['Holiday', 'Comedy']",6.0,30.0
Duel,1971,['Mystery & Thriller'],89.0,84.0
Das Boot,1981,"['War', 'Drama']",98.0,96.0
Bring Them Down,2024,"['Drama', 'Mystery & Thriller']",89.0,54.0
A Dog's Purpose,2017,"['Comedy', 'Drama', 'Fantasy']",35.0,74.0
I Don't Feel at Home in This World Anymore,2017,"['Crime', 'Drama']",89.0,77.0
Love & Death,2023,['Mystery & Thriller'],100.0,90.0
The Secret: Dare to Dream,2020,"['Romance', 'Drama']",28.0,72.0
Dark Skies,2013,"['Sci-Fi', 'Mystery & Thriller', 'Horror']",42.0,49.0
Belle de Jour,1967,['Drama'],95.0,85.0
What Doesn't Kill You,2008,"['Crime', 'Drama']",66.0,47.0
The Priests 2: Dark Nuns,2025,"['Horror', 'Mystery & Thriller']",53.0,66.0
Diablo,2025,"['Action', 'Mystery & Thriller']",71.0,50.0
Abraham's Boys: A Dracula Story,2025,"['Horror', 'Mystery & Thriller']",40.0,30.0
Downhill Racer,1969,['Drama'],85.0,57.0
Million Dollar Baby,2004,['Drama'],90.0,90.0
Hachi: A Dog's Tale,2009,['Drama'],64.0,85.0
Disaster Movie,2008,['Comedy'],1.0,21.0
How to Make Millions Before Grandma Dies,2024,"['Drama', 'Comedy']",98.0,94.0
A Nightmare on Elm Street 4: The Dream Master,1988,['Horror'],56.0,43.0
The Boy Behind the Door,2020,"['Horror', 'Mystery & Thriller']",97.0,62.0
The Dig,2021,['Drama'],88.0,78.0
Disney's A Christmas Carol,2009,"['Kids & Family', 'Holiday', 'Fantasy', 'Drama', 'Animation']",52.0,58.0
Dirty Grandpa,2016,['Comedy'],10.0,44.0
Diary of a Wimpy Kid: Rodrick Rules,2011,"['Kids & Family', 'Comedy']",48.0,62.0
Darkness Falls,2003,"['Horror', 'Mystery & Thriller']",10.0,34.0
Dances With Wolves,1990,"['History', 'Drama', 'Western']",87.0,87.0
Double Blind,2023,"['Horror', 'Mystery & Thriller']",100.0,69.0
Dark Harvest,2023,"['Horror', 'Mystery & Thriller']",67.0,47.0
Three Days of the Condor,1975,['Mystery & Thriller'],87.0,83.0
Down to You,2000,"['Romance', 'Comedy']",3.0,48.0
Dreamin' Wild,2022,"['Biography', 'Drama', 'Music']",90.0,65.0
Intrigo: Death of an Author,2018,"['Mystery & Thriller', 'Crime', 'Drama']",11.0,48.0
The Deer Hunter,1978,"['War', 'Drama']",86.0,91.0
Indiana Jones and the Temple of Doom,1984,"['Adventure', 'Action']",77.0,82.0
The Final Destination,2009,"['Horror', 'Mystery & Thriller']",28.0,35.0
Due Date,2010,['Comedy'],39.0,52.0
Donnie Brasco,1997,"['Crime', 'Drama', 'Mystery & Thriller']",88.0,89.0
Dolemite Is My Name,2019,"['Biography', 'Comedy', 'Drama']",97.0,91.0
Raya and the Last Dragon,2021,"['Kids & Family', 'Fantasy', 'Adventure', 'Animation']",93.0,97.0
The Darjeeling Limited,2007,"['Comedy', 'Drama']",69.0,78.0
Do the Right Thing,1989,['Drama'],92.0,89.0
The Boy Next Door,2015,['Mystery & Thriller'],12.0,35.0
Deliver Us From Evil,2014,"['Horror', 'Mystery & Thriller']",29.0,42.0
Land of the Dead,2005,['Horror'],75.0,52.0
Final Destination 2,2003,"['Horror', 'Mystery & Thriller']",52.0,58.0
Angels & Demons,2009,"['Action', 'Mystery & Thriller']",36.0,57.0
Dear Evan Hansen,2021,"['Musical', 'Drama']",28.0,88.0
The Daytrippers,1996,['Comedy'],73.0,74.0
Dora and the Lost City of Gold,2019,"['Kids & Family', 'Adventure', 'Mystery & Thriller', 'Comedy']",85.0,88.0
What Dreams May Come,1998,"['Fantasy', 'Romance', 'Drama']",51.0,84.0
Clear and Present Danger,1994,"['Mystery & Thriller', 'Drama']",81.0,74.0
Marvel's Daredevil,2015,"['Drama', 'Action', 'Sci-Fi']",42.0,35.0
The Devil's Own,1997,"['Mystery & Thriller', 'Crime', 'Drama']",34.0,41.0
Daybreakers,2009,"['Horror', 'Sci-Fi', 'Action']",69.0,49.0
The Road to El Dorado,2000,"['Kids & Family', 'Musical', 'Animation']",49.0,66.0
The French Dispatch,2021,"['Comedy', 'Drama']",75.0,76.0
The Neon Demon,2016,"['Horror', 'Mystery & Thriller']",59.0,51.0
Dirty Rotten Scoundrels,1988,['Comedy'],89.0,84.0
Drive-Away Dolls,2024,"['Comedy', 'LGBTQ+', 'Action', 'Mystery & Thriller']",64.0,37.0
Star Trek Into Darkness,2013,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",84.0,89.0
Double Indemnity,1944,"['Crime', 'Drama']",97.0,95.0
Dark Phoenix,2019,"['Action', 'Adventure', 'Sci-Fi', 'Fantasy']",22.0,64.0
Daddy's Home,2015,['Comedy'],30.0,50.0
Despicable Me 2,2013,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",75.0,85.0
Blumhouse's Truth or Dare,2018,"['Horror', 'Mystery & Thriller']",15.0,23.0
Despicable Me 3,2017,"['Kids & Family', 'Comedy', 'Adventure', 'Animation']",58.0,53.0
Roofman,2025,"['Comedy', 'Drama', 'Crime']",86.0,85.0
Rebel Ridge,2024,"['Action', 'Drama']",95.0,73.0
Regretting You,2025,"['Drama', 'Romance']",28.0,85.0
RRR,2022,"['Action', 'Drama']",96.0,94.0
The Deeper You Dig,2019,"['Drama', 'Horror']",94.0,58.0
Small Engine Repair,2021,"['Comedy', 'Drama']",78.0,85.0
Dhadak 2,2025,"['Drama', 'Mystery & Thriller', 'Romance']",63.0,81.0
Burn After Reading,2008,"['Comedy', 'Drama', 'Mystery & Thriller']",78.0,65.0
Raw,2016,"['Horror', 'Drama']",93.0,76.0
Maintenance Required,2025,"['Romance', 'Comedy']",38.0,37.0
Minority Report,2002,"['Sci-Fi', 'Mystery & Thriller', 'Action', 'Crime', 'Drama']",89.0,80.0
Heaven Is for Real,2014,['Drama'],52.0,66.0
28 Hotel Rooms,2012,['Drama'],47.0,39.0
What Remains,2022,"['Mystery & Thriller', 'Crime', 'Drama']",89.0,41.0
Flight Risk,2025,"['Mystery & Thriller', 'Action', 'Drama']",29.0,62.0
Reptile,2023,"['Crime', 'Drama']",44.0,70.0
Real Steel,2011,"['Action', 'Drama', 'Sci-Fi']",60.0,73.0
Ready Player One,2018,"['Sci-Fi', 'Adventure', 'Action', 'Fantasy']",71.0,77.0
Run,2020,['Mystery & Thriller'],88.0,74.0
Red One,2024,"['Holiday', 'Action', 'Adventure', 'Comedy']",30.0,89.0
Green Room,2015,"['Mystery & Thriller', 'Horror']",90.0,75.0
No Reservations,2007,"['Drama', 'Romance']",42.0,62.0
The Ridiculous 6,2015,"['Comedy', 'Western']",0.0,37.0
Rebel Moon: Part One - A Child of Fire,2023,"['Sci-Fi', 'Action', 'Adventure', 'Drama', 'Fantasy']",22.0,56.0
Ice Road: Vengeance,2025,"['Action', 'Mystery & Thriller']",15.0,24.0
Rec,2007,"['Horror', 'Mystery & Thriller']",90.0,82.0
Rule Breakers,2025,['Drama'],82.0,96.0
Three Colors: Red,1994,['Drama'],100.0,94.0
Wind River,2017,"['Mystery & Thriller', 'Crime', 'Drama']",87.0,90.0
Redeeming Love,2022,"['Romance', 'History', 'Drama']",11.0,95.0
Relay,2024,"['Mystery & Thriller', 'Action']",81.0,89.0
Bohemian Rhapsody,2018,"['Biography', 'History', 'Drama', 'Music', 'LGBTQ+']",60.0,85.0
Mad Max: Fury Road,2015,"['Action', 'Adventure', 'Sci-Fi']",97.0,86.0
Jurassic World Rebirth,2025,"['Action', 'Adventure', 'Sci-Fi']",50.0,70.0
Jojo Rabbit,2019,"['Comedy', 'Drama']",81.0,94.0
A Real Pain,2024,"['Comedy', 'Drama']",96.0,82.0
Hallow Road,2025,"['Mystery & Thriller', 'Drama']",91.0,52.0
Rust,2024,['Western'],57.0,71.0
Rosemary's Baby,1968,['Horror'],97.0,87.0
Alien: Romulus,2024,"['Sci-Fi', 'Horror']",80.0,85.0
